ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Factor
GO:0032692,negative regulation of interleukin-1 production,40,-0.6977597600554839,-2.0959097547826504,2.5998315502701044e-7,3.052375902635392e-6,NA,1396,"tags=45%, list=9%, signal=41%",51738/1524/634/2000/114769/80149/7128/54209/54/4210/7850/11006/3479/1992/114548/91662/945/3586,Factor2
GO:0061756,leukocyte adhesion to vascular endothelial cell,51,-0.6572023482565874,-2.039585059076263,2.6472733952225065e-7,3.101981531343078e-6,NA,2964,"tags=55%, list=20%, signal=44%",407007/2526/9314/10725/2529/3952/3688/56477/6403/6693/9435/1524/10164/3695/64116/3676/6401/7124/6387/6404/5724/3569/116844/3689/240/6402/2650/729230,Factor2
GO:0002832,negative regulation of response to biotic stimulus,112,-0.5574948424697063,-1.9013913688759712,2.706215800982108e-7,3.164842588389252e-6,NA,3257,"tags=45%, list=22%, signal=35%",3135/384/79132/383/84166/22978/3805/10062/5292/3106/409/6737/10221/4938/6773/5771/54625/25939/2896/4277/3133/100507436/3824/2810/7040/3134/5133/634/4057/59307/29126/11027/196/114769/710/259307/5468/5272/7128/10225/5777/2/10875/84868/11213/10475/10859/56833/11326/1378,Factor2
GO:0006968,cellular defense response,42,-0.6989504250915303,-2.10869642949872,2.8087658068911143e-7,3.2783563402307223e-6,NA,2859,"tags=71%, list=19%, signal=58%",3135/922/10803/3805/9437/3959/8061/10578/3688/3929/50852/2185/4068/6693/1524/8808/5551/3579/3702/4046/10312/7305/10871/4688/728/23643/4332/1234/10288/729230,Factor2
GO:1903532,positive regulation of secretion by cell,267,-0.4578325485553678,-1.6453358909467808,2.83693769080278e-7,3.3047835556018354e-6,NA,2593,"tags=30%, list=17%, signal=25%",2864/6281/5021/2692/9501/1392/27063/8600/6857/2696/7043/9607/3952/54795/134957/93664/114897/5106/286676/1588/3717/8447/6616/8736/846/5025/5874/55107/2867/7424/7273/51738/7040/6385/2151/6865/4824/3134/55691/7447/201294/9536/2182/3077/5950/6690/57126/302/8618/9619/3552/56729/2268/5873/5122/5468/8111/6382/101/3783/6622/54209/3624/6387/3553/6696/3479/3708/5579/5724/8673/1601/3689/6850/8792/3566/7097/945/3684,Factor2
GO:0000910,cytokinesis,157,0.37447757558592765,1.839035622337802,2.9403219173348776e-7,3.418553264201017e-6,NA,2024,"tags=24%, list=13%, signal=21%",9212/332/55143/9700/1058/5347/24137/9928/79187/9493/1894/3925/26586/990/29127/6790/10112/201161/79733/128239/1813/27443/994/144455/3619/6755/11258/55165/8555/675/55521/90293/9727/79998/6242/6683/84501,Factor2
GO:0050657,nucleic acid transport,135,0.38697788192696647,1.8516314300860113,3.000198564410043e-7,3.474648569944654e-6,NA,3943,"tags=54%, list=26%, signal=40%",23237/130132/144983/3178/3181/4904/10643/29118/9939/8570/65109/55916/65110/10657/22794/11052/57510/129401/91746/8086/6741/9444/4116/1660/23225/26993/9688/29107/55746/84271/8087/7514/55677/5901/9775/8480/2332/22916/23511/55308/1070/87178/79902/4686/7884/11269/29890/57122/8106/23279/53371/9972/9793/3837/3297/57097/2733/23165/79023/9804/23636/9887/8658/55110/348995/29074/10482/9631/56943/55795/29072/23144/100101267,Factor2
GO:0050658,RNA transport,135,0.38697788192696647,1.8516314300860113,3.000198564410043e-7,3.474648569944654e-6,NA,3943,"tags=54%, list=26%, signal=40%",23237/130132/144983/3178/3181/4904/10643/29118/9939/8570/65109/55916/65110/10657/22794/11052/57510/129401/91746/8086/6741/9444/4116/1660/23225/26993/9688/29107/55746/84271/8087/7514/55677/5901/9775/8480/2332/22916/23511/55308/1070/87178/79902/4686/7884/11269/29890/57122/8106/23279/53371/9972/9793/3837/3297/57097/2733/23165/79023/9804/23636/9887/8658/55110/348995/29074/10482/9631/56943/55795/29072/23144/100101267,Factor2
GO:0042770,signal transduction in response to DNA damage,171,0.3701472343079186,1.854122597583848,3.024484085866684e-7,3.495999399833521e-6,NA,2878,"tags=42%, list=19%, signal=34%",6659/2305/51514/51512/146956/5347/1111/983/5888/83990/2177/1017/79968/1869/1407/84444/63967/10459/9656/23028/1027/4436/79915/641/11073/7023/25896/54962/672/91603/51343/580/144455/5883/55544/8555/6118/988/25988/675/835/51147/9100/27339/25/8493/80279/5514/55159/56658/29980/6300/22976/84126/10524/595/57646/9894/261726/5716/842/80198/5810/5781/25949/54465/84446/7157/65975/80254/9025,Factor2
GO:0032720,negative regulation of tumor necrosis factor production,62,-0.6370242021015357,-2.03189931439973,3.0870295505176973e-7,3.5614070644582543e-6,NA,1982,"tags=47%, list=13%, signal=41%",409/671/5443/602/706/1149/3929/50856/51738/2000/2841/558/6504/80149/10457/7128/54209/54/11006/5777/3479/26191/84868/11213/945/64127/10859/3586/7057,Factor2
