ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Factor,Method,factor
GO:0099509,regulation of presynaptic cytosolic calcium ion concentration,14,-0.6518869992802034,-1.785597825398366,0.00267336400246895,0.01644118861518406,NA,3272,"tags=64%, list=22%, signal=50%",5023/26059/793/134/785/3351/9899/794/492,gfa_rna_gsea_f6,GFA,F6
GO:0099505,regulation of presynaptic membrane potential,29,-0.6410540137486612,-2.105962170121567,3.065959310392622e-5,3.9630301671266817e-4,NA,3634,"tags=69%, list=24%, signal=52%",27345/2892/2893/2901/2560/2906/2900/2904/3767/3736/3739/57528/3765/2558/2555/3737/3747/3746/3760/2550,gfa_rna_gsea_f6,GFA,F6
GO:0002700,regulation of production of molecular mediator of immune response,163,0.4909824497296934,2.1775334913681736,3.2585482384839616e-10,1.31807182774113e-8,NA,3014,"tags=42%, list=20%, signal=34%",8741/54/6850/54440/695/7133/5336/940/729230/3586/29108/3566/10225/51744/10859/1378/942/7805/6778/3663/11006/51284/558/10417/8809/972/3606/3718/64127/64581/114548/924/64170/5027/6504/336/11213/2625/958/3597/3554/1604/3133/7474/2867/7124/6398/7293/3077/10392/933/6830/3098/7040/9516/4092/115352/7186/91543/3134/200558/284/10666/9466/7043/975/57506/7292/6810,gfa_rna_gsea_f4,GFA,F4
GO:0032306,regulation of prostaglandin secretion,12,0.7280480062969152,1.8795077607987671,0.00121762923850118,0.00840624446786556,NA,901,"tags=33%, list=6%, signal=31%",8792/5025/2182/5027,gfa_rna_gsea_f4,GFA,F4
GO:0061136,regulation of proteasomal protein catabolic process,172,0.3676039057372864,1.9534750551917597,3.3441772910776193e-7,2.7236968288276777e-5,NA,3787,"tags=47%, list=25%, signal=35%",7341/25898/6880/5716/3093/55270/9491/8667/79016/6613/11345/5705/5566/819/9978/51035/10197/2931/10134/29978/1191/210/1460/4780/57817/23640/9097/51136/5601/1453/2876/11315/10213/3300/7314/10273/90637/863/26471/27074/5720/3326/2768/51377/369/54209/258010/9709/7018/10755/51548/641700/91445/51667/5721/6449/6135/5886/5702/2272/9817/7466/5706/5887/2295/5704/9532/23429/5701/7480/8078/22933/153769/5582/51322/56893/7494/29979/150684/10444,gfa_rna_gsea_f1,GFA,F1
GO:0032434,regulation of proteasomal ubiquitin-dependent protein catabolic process,113,0.42752449303699885,1.7797290792760707,1.5530179841620554e-4,0.00257525525419755,NA,3060,"tags=36%, list=20%, signal=29%",9655/7874/23429/8554/1457/51322/23411/84640/51667/4534/51377/2729/4092/10221/79699/5887/8239/2932/4130/9683/55212/57630/1601/9529/3093/6815/5663/51105/10444/25831/3326/144165/1452/56658/25898/8667/28951/26259/344558/120892/7415,gfa_rna_gsea_f11,GFA,F11
GO:1901983,regulation of protein acetylation,19,-0.6008498491791705,-1.9157999593435224,0.00191914221705153,0.01221401282172082,NA,3021,"tags=47%, list=20%, signal=38%",2932/84681/28999/23411/6659/5562/3066/5563/84140,gfa_rna_gsea_f4,GFA,F4
GO:0031952,regulation of protein autophosphorylation,29,0.5328120219181673,1.798371423887904,0.00176718540247567,0.02404249756370407,NA,769,"tags=28%, list=5%, signal=26%",801/9770/9961/5526/808/7422/54206/5154,gfa_rna_gsea_f12,GFA,F12
GO:0043393,regulation of protein binding,105,0.396212213755619,1.742581860432319,2.8638449107074065e-4,0.00609907889640761,NA,3113,"tags=34%, list=21%, signal=27%",5300/488/207/24144/4318/57761/4140/120892/10763/25/8536/10211/4035/2932/5901/60/1026/6790/4133/6135/6590/9026/56998/302/84630/627/5347/25805/1454/9270/51068/8189/581/2280/7015/6815,gfa_rna_gsea_f12,GFA,F12
GO:0042176,regulation of protein catabolic process,329,0.36470995723182065,1.7012197395096629,1.2332715787750052e-6,6.520112109892067e-5,NA,3331,"tags=34%, list=22%, signal=27%",9655/5707/7874/23429/8554/55737/8450/2308/1457/51322/7078/9101/23411/160418/84640/6093/51667/51201/10098/51582/4534/51377/2729/10795/4092/10221/3416/79699/1642/5887/5045/8239/2932/257364/4130/7110/9683/55212/9554/2332/3156/84236/4089/29761/29978/57630/1601/9529/4088/130507/4780/29934/7077/324/3093/6815/8945/2534/351/5663/29979/51105/8754/55353/4035/83737/55270/10444/51429/6653/10869/25831/23450/9827/3326/7474/7466/144165/4734/1452/11213/84961/5962/56658/8975/153090/7133/10769/25898/8667/28951/152503/26259/344558/81542/10197/80762/25897/8451/120892/64321/23400/7415/9686/9491/165324/5270/9532/22954/5523/51339/91445,gfa_rna_gsea_f11,GFA,F11
