ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Factor,Method,Term,neglog10_padj
GO:0002697,regulation of immune effector process,21/279,410/18986,0.05121951219512195,3.485496984002098,6.213472733981412,7.906853962637488e-7,4.7705680652301066e-4,NA,RSAD2/CLCF1/LGALS1/TLR3/SHB/CD160/NOD2/HLA-DMB/LGALS3/CEACAM1/MYO18A/TYROBP/HLA-A/BCL10/SLAMF8/STAT5A/AP1G1/CFP/SPN/NLRP3/HLA-B,21,F4,MOFA,regulation of immune effector process,3.321429903369612
GO:1902105,regulation of leukocyte differentiation,19/279,337/18986,0.05637982195845697,3.836656988183742,6.4165166981127175,6.449043276811302e-7,4.7705680652301066e-4,NA,CCR1/LIF/CD101/LGALS1/MIR125B1/TLR3/SHB/CASP8/CEACAM1/FANCD2/TYROBP/CD2/SLAMF8/FOXP1/STAT5A/MMP14/KAT2A/NLRP3/HLA-B,19,F4,MOFA,regulation of leukocyte differentiation,3.321429903369612
GO:0002366,leukocyte activation involved in immune response,18/279,315/18986,0.05714285714285714,3.8885816692268302,6.313373275849392,1.0546777618990964e-6,5.354749665413412e-4,NA,FCER1G/CLCF1/LGALS1/SHB/CD160/LCP1/IFI35/HLA-DMB/LGALS3/MFNG/CEACAM1/LAT/TYROBP/FOXP1/STAT5A/AP1G1/SPN/NLRP3,18,F4,MOFA,leukocyte activation involved in immune response,3.2712608276278026
GO:0002263,cell activation involved in immune response,18/279,319/18986,0.05642633228840126,3.8398220244716352,6.246755820185559,1.2638168917057238e-6,5.614506541402678e-4,NA,FCER1G/CLCF1/LGALS1/SHB/CD160/LCP1/IFI35/HLA-DMB/LGALS3/MFNG/CEACAM1/LAT/TYROBP/FOXP1/STAT5A/AP1G1/SPN/NLRP3,18,F4,MOFA,cell activation involved in immune response,3.250688407837657
GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,13/279,193/18986,0.06735751295336788,4.583690827715565,6.111058793504549,5.865435055176914e-6,0.00208457561860987,NA,CX3CL1/BPI/MIR125B1/TLR3/ARFGEF2/NOD2/ARHGEF2/TYROBP/BCL10/CD2/PTPN22/FOXP1/SPN,13,F4,MOFA,"regulation of tumor necrosis factor superfamily
cytokine production",2.680982346088495
GO:0071706,tumor necrosis factor superfamily cytokine production,13/279,193/18986,0.06735751295336788,4.583690827715565,6.111058793504549,5.865435055176914e-6,0.00208457561860987,NA,CX3CL1/BPI/MIR125B1/TLR3/ARFGEF2/NOD2/ARHGEF2/TYROBP/BCL10/CD2/PTPN22/FOXP1/SPN,13,F4,MOFA,tumor necrosis factor superfamily cytokine production,2.680982346088495
GO:1903706,regulation of hemopoiesis,20/279,433/18986,0.04618937644341801,3.143195344640625,5.509395657689842,6.918408329307793e-6,0.00223527483657817,NA,CCR1/LIF/CD101/LGALS1/MIR125B1/TLR3/SHB/CASP8/CEACAM1/FANCD2/TYROBP/CD2/SLAMF8/FOXP1/STAT5A/MMP14/KAT2A/LOX/NLRP3/HLA-B,20,F4,MOFA,regulation of hemopoiesis,2.6506690708894887
GO:0010038,response to metal ion,19/273,345/18986,0.05507246376811594,3.8300578648404735,6.407449252145553,6.608229399417258e-7,0.0022362248287628,NA,MT1M/KCNB1/MT1E/MT1F/UCP2/PAM/CRIP1/PPP2CB/NFATC4/RYR2/ACTA1/RASGRP2/THBS1/MT2A/CPNE5/FGG/GLRA1/CPNE2/PDX1,19,F5,MOFA,response to metal ion,2.6504845348721693
GO:0050727,regulation of inflammatory response,20/279,438/18986,0.045662100456621,3.107314119245184,5.4490791705042225,8.192610577099565e-6,0.00242637816591765,NA,CX3CL1/LGALS2/LGALS1/TLR3/AOAH/SERPINE1/NOD2/WFDC1/IFI35/MMP9/AIM2/FANCD2/CST7/CD200R1/SLAMF8/FOXP1/TRADD/GIT1/SPN/NLRP3,20,F4,MOFA,regulation of inflammatory response,2.6150415107356992
GO:0002699,positive regulation of immune effector process,15/279,272/18986,0.05514705882352941,3.752767235926629,5.58439281012979,1.291612393508515e-5,0.00353106957425327,NA,RSAD2/CLCF1/TLR3/SHB/CD160/NOD2/HLA-DMB/MYO18A/TYROBP/HLA-A/BCL10/AP1G1/CFP/NLRP3/HLA-B,15,F4,MOFA,positive regulation of immune effector process,2.452093725252933
GO:0050851,antigen receptor-mediated signaling pathway,13/279,212/18986,0.06132075471698113,4.172888347873132,5.673481495908523,1.6119248823734792e-5,0.00409198645139667,NA,PRKD2/BCAR1/KLHL6/SHB/CD160/LGALS3/CEACAM1/SH2B2/LAT/HLA-A/BCL10/PTPN22/FOXP1,13,F4,MOFA,antigen receptor-mediated signaling pathway,2.3880658129103676
GO:0170034,L-amino acid biosynthetic process,8/286,59/18986,0.13559322033898305,9.001303780964799,7.612256051760403,2.7395254973219223e-6,0.00447775442537268,NA,PYCR1/AASDHPPT/GLS/CTH/MTHFR/PLOD3/ASNS/SHMT2,8,F6,MOFA,L-amino acid biosynthetic process,2.3489397282268523
GO:0170038,proteinogenic amino acid biosynthetic process,8/286,58/18986,0.13793103448275862,9.156498673740051,7.693658709024937,2.3991040354314853e-6,0.00447775442537268,NA,PYCR1/AASDHPPT/GLS/CTH/MTHFR/PLOD3/ASNS/SHMT2,8,F6,MOFA,proteinogenic amino acid biosynthetic process,2.3489397282268523
GO:0032680,regulation of tumor necrosis factor production,12/279,188/18986,0.06382978723404255,4.343628460306565,5.626605215791906,2.2977396436417904e-5,0.00510385418343932,NA,CX3CL1/BPI/MIR125B1/TLR3/ARFGEF2/NOD2/ARHGEF2/TYROBP/CD2/PTPN22/FOXP1/SPN,12,F4,MOFA,regulation of tumor necrosis factor production,2.292101741855917
GO:0032640,tumor necrosis factor production,12/279,188/18986,0.06382978723404255,4.343628460306565,5.626605215791906,2.2977396436417904e-5,0.00510385418343932,NA,CX3CL1/BPI/MIR125B1/TLR3/ARFGEF2/NOD2/ARHGEF2/TYROBP/CD2/PTPN22/FOXP1/SPN,12,F4,MOFA,tumor necrosis factor production,2.292101741855917
GO:0003161,cardiac conduction system development,6/273,37/18986,0.16216216216216217,11.277695277695278,7.558199774648914,1.3374660075716251e-5,0.0059851957815257,NA,NPPB/GATA6/TBX18/TBX3/ISL1/MSX2,6,F5,MOFA,cardiac conduction system development,2.2229216388339115
