ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Factor,Method,factor,Term
GO:1905818,regulation of chromosome separation,71,0.7213363551378966,3.158319195089782,1e-10,2.0536082474226807e-9,NA,1302,"tags=51%, list=9%, signal=47%",83540/11065/221150/57405/23397/9212/7272/991/332/55143/4085/9787/9700/1063/147841/5347/701/699/26271/64151/9319/220134/10403/891/11130/54892/10592/10051/10459/9735/5885/9918/23310/51529/55055/3619,F2,MOFA,NA,regulation of chromosome separation
GO:0006261,DNA-templated DNA replication,133,0.653557381498514,3.139716230956643,1e-10,2.0536082474226807e-9,NA,2411,"tags=61%, list=16%, signal=52%",55388/8317/9156/81620/51659/4176/146956/26271/4171/5888/5983/9837/10293/9401/63922/51053/10926/1017/4173/8914/10721/990/64785/4172/5427/5984/57418/84515/11169/54107/997/5985/2237/79733/3978/5426/5557/2021/5111/79075/4175/5558/79915/641/8099/11073/1763/5980/54962/5442/6240/84296/80174/672/25792/91603/580/10714/5425/23649/144455/7083/3980/6117/7014/9134/5424/58525/675/5422/5982/142/55159/29980/11232/56897/55218/222229/57697/64710/80198,F2,MOFA,NA,DNA-templated DNA replication
GO:0044786,cell cycle DNA replication,40,0.8000684264558731,3.1317166482951735,1e-10,2.0536082474226807e-9,NA,1721,"tags=70%, list=11%, signal=62%",8317/81620/26271/4171/5888/9837/51053/10926/4173/64785/4172/2237/79733/3978/5111/4175/79915/641/1763/54962/80174/91603/144455/7083/7014/58525/675/5422,F2,MOFA,NA,cell cycle DNA replication
GO:0051303,establishment of chromosome localization,92,0.6839379355880425,3.119614230047975,1e-10,2.0536082474226807e-9,NA,2222,"tags=52%, list=15%, signal=45%",83540/3833/11004/113130/221150/57405/9212/7272/4751/332/55143/81620/1063/147841/983/3835/9928/1894/220134/10403/81610/10615/891/11130/81930/55166/29127/1062/348235/9735/79980/55055/3619/3192/55920/10726/11243/54984/84722/79998/8697/79003/22919/91272/10524/54820/7756/27183,F2,MOFA,NA,establishment of chromosome localization
GO:0044784,metaphase/anaphase transition of cell cycle,93,0.6714313609709388,3.112210793596693,1e-10,2.0536082474226807e-9,NA,1477,"tags=45%, list=10%, signal=41%",83540/605/11065/221150/57405/9212/7272/991/332/55143/4085/9787/9700/1063/147841/5347/701/699/26271/9319/220134/10403/8193/891/11130/990/1062/10459/9735/6602/10460/6597/5885/6599/51529/29117/29882/6598/55055/3619/5977/86,F2,MOFA,NA,metaphase/anaphase transition of cell cycle
GO:0007091,metaphase/anaphase transition of mitotic cell cycle,91,0.6736775453716966,3.101752779757622,1e-10,2.0536082474226807e-9,NA,1477,"tags=46%, list=10%, signal=42%",83540/605/11065/221150/57405/9212/7272/991/332/55143/4085/9787/9700/1063/147841/5347/701/699/26271/9319/220134/10403/8193/891/11130/990/1062/10459/9735/6602/10460/6597/5885/6599/51529/29117/29882/6598/55055/3619/5977/86,F2,MOFA,NA,metaphase/anaphase transition of mitotic cell cycle
GO:0050000,chromosome localization,100,0.6680184555995696,3.0965078071588,1e-10,2.0536082474226807e-9,NA,2222,"tags=49%, list=15%, signal=42%",83540/3833/11004/113130/221150/57405/9212/7272/4751/332/55143/9787/81620/1063/147841/983/3835/9928/1894/220134/10403/81610/10615/891/11130/81930/55166/29127/1062/348235/9735/79980/55055/3619/3192/55920/10726/11243/54984/84722/79998/8697/79003/22919/91272/10524/54820/7756/27183,F2,MOFA,NA,chromosome localization
GO:0010965,regulation of mitotic sister chromatid separation,57,0.7309500454035481,3.091935891425294,1e-10,2.0536082474226807e-9,NA,1302,"tags=51%, list=9%, signal=47%",83540/11065/221150/57405/9212/7272/991/332/55143/4085/9787/9700/1063/147841/5347/701/699/26271/9319/220134/10403/891/11130/10459/9735/5885/51529/55055/3619,F2,MOFA,NA,regulation of mitotic sister chromatid separation
GO:0008608,attachment of spindle microtubules to kinetochore,46,0.7737974480044209,3.0910748456751693,1e-10,2.0536082474226807e-9,NA,2209,"tags=67%, list=15%, signal=58%",83540/11004/221150/57405/9212/4751/332/55143/81620/147841/983/1894/220134/10403/10615/891/29127/1062/348235/9735/79980/55055/3619/3192/55920/11243/79003/22919/91272/10524/7756,F2,MOFA,NA,attachment of spindle microtubules to kinetochore
GO:0033045,regulation of sister chromatid segregation,100,0.6652354990412459,3.083607794236105,1e-10,2.0536082474226807e-9,NA,1477,"tags=44%, list=10%, signal=40%",83540/605/11065/221150/57405/9212/7272/991/332/55143/4085/9787/9700/1063/147841/5347/701/983/699/26271/9319/220134/10403/8193/891/11130/990/1062/10459/9735/6602/10460/6597/5885/6599/51529/29117/29882/6598/55055/3619/3192/5977/86,F2,MOFA,NA,regulation of sister chromatid segregation
GO:0045839,negative regulation of mitotic nuclear division,54,0.739060300838568,3.064462526766796,1e-10,2.0536082474226807e-9,NA,750,"tags=48%, list=5%, signal=46%",83540/221150/57405/9212/7272/991/332/55143/4085/1063/147841/5347/701/1111/699/26271/9319/220134/10403/891/11130/655/10459/27085/9735/5885,F2,MOFA,NA,negative regulation of mitotic nuclear division
GO:1902099,regulation of metaphase/anaphase transition of cell cycle,89,0.6671141307078281,3.0641558959815667,1e-10,2.0536082474226807e-9,NA,2036,"tags=51%, list=14%, signal=44%",83540/605/11065/221150/57405/9212/7272/991/332/55143/4085/9787/9700/1063/147841/5347/701/699/26271/9319/220134/10403/8193/891/11130/990/1062/10459/9735/6602/6597/5885/6599/51529/29117/6598/55055/3619/5977/86/7517/6604/8697/55274/51434,F2,MOFA,NA,"regulation of metaphase/anaphase transition of cell
cycle"
GO:0051306,mitotic sister chromatid separation,60,0.7163007936097334,3.0620141021578746,1e-10,2.0536082474226807e-9,NA,1302,"tags=48%, list=9%, signal=44%",83540/11065/221150/57405/9212/7272/991/332/55143/4085/9787/9700/1063/147841/5347/701/699/26271/9319/220134/10403/891/11130/10459/9735/5885/51529/55055/3619,F2,MOFA,NA,mitotic sister chromatid separation
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",248,0.5965133466378194,3.050089657776796,1e-10,2.0536082474226807e-9,NA,3695,"tags=68%, list=25%, signal=52%",4857/11168/84950/8175/144983/51690/3178/3189/3181/220988/3609/25862/9939/10236/57819/5411/51747/27316/65109/4670/10262/4691/65110/10657/5725/10465/23020/11100/22794/10419/6421/221092/6626/27336/10921/56949/3187/57060/91746/10492/1153/7072/9092/6635/6636/27258/9444/4858/24148/6631/11338/51631/4116/6627/9129/10992/3191/22827/1660/6632/79171/3192/8161/6628/199746/9128/1207/51645/55692/9416/4236/23658/988/3183/8241/3190/79622/6633/25804/84811/9410/10656/9733/10713/50628/11218/7536/27339/10946/23450/9775/1653/2332/60625/29896/22916/1665/6629/10286/10432/55147/6434/6637/51319/11171/55696/4686/5936/56259/29890/3550/22913/55082/56339/6625/9785/57461/6732/51574/55015/83759/5394/55660/55234/10250/11017/25949/10450/54496/57703/58517/54957/26576/11193/10084/9343/8896/51503/96764/9879/58155/10180/55094/53938/22985/10421/59286/84844/10291/51634/22938/11066/9584/79005/11325/6634/28960/51163/26121/10078/55110/11157/5356/84991/10179/1659/9716/27238,F2,MOFA,NA,"RNA splicing, via transesterification reactions with
bulged adenosine as nucleophile"
GO:0000398,"mRNA splicing, via spliceosome",248,0.5965133466378194,3.050089657776796,1e-10,2.0536082474226807e-9,NA,3695,"tags=68%, list=25%, signal=52%",4857/11168/84950/8175/144983/51690/3178/3189/3181/220988/3609/25862/9939/10236/57819/5411/51747/27316/65109/4670/10262/4691/65110/10657/5725/10465/23020/11100/22794/10419/6421/221092/6626/27336/10921/56949/3187/57060/91746/10492/1153/7072/9092/6635/6636/27258/9444/4858/24148/6631/11338/51631/4116/6627/9129/10992/3191/22827/1660/6632/79171/3192/8161/6628/199746/9128/1207/51645/55692/9416/4236/23658/988/3183/8241/3190/79622/6633/25804/84811/9410/10656/9733/10713/50628/11218/7536/27339/10946/23450/9775/1653/2332/60625/29896/22916/1665/6629/10286/10432/55147/6434/6637/51319/11171/55696/4686/5936/56259/29890/3550/22913/55082/56339/6625/9785/57461/6732/51574/55015/83759/5394/55660/55234/10250/11017/25949/10450/54496/57703/58517/54957/26576/11193/10084/9343/8896/51503/96764/9879/58155/10180/55094/53938/22985/10421/59286/84844/10291/51634/22938/11066/9584/79005/11325/6634/28960/51163/26121/10078/55110/11157/5356/84991/10179/1659/9716/27238,F2,MOFA,NA,"mRNA splicing, via spliceosome"
