ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Factor,Method,factor,neglog10_padj,Term
GO:0042775,mitochondrial ATP synthesis coupled electron transport,79,-0.7571351650150053,-3.2891049165833364,1e-10,1.401627906976744e-8,NA,1936,"tags=70%, list=13%, signal=61%",54949/6622/7384/4728/9377/11315/51103/23479/4719/4704/1716/4725/4696/65018/637/1346/4710/4700/4717/4715/4716/7385/1327/4712/4708/6392/1350/1537/6390/4714/1340/27069/4694/4724/9167/7386/4706/29103/4722/4707/55967/7388/4713/4718/27089/1351/4711/1329/4695/51142/4709/1347/1349/1337/4697,F6,MOFA,NA,7.853367264111675,mitochondrial ATP synthesis coupled electron transport
GO:0019646,aerobic electron transport chain,72,-0.7560785788246714,-3.224290981479848,1e-10,1.401627906976744e-8,NA,1936,"tags=69%, list=13%, signal=61%",54949/6622/7384/4728/9377/11315/51103/23479/4719/4704/4725/4696/65018/1346/4710/4700/4717/4715/4716/7385/1327/4712/4708/6392/1350/1537/6390/4714/1340/4694/4724/9167/7386/4706/29103/4722/4707/7388/4713/4718/27089/1351/4711/1329/4695/4709/1347/1349/1337/4697,F6,MOFA,NA,7.853367264111675,aerobic electron transport chain
GO:0097250,mitochondrial respirasome assembly,76,-0.7301104386021342,-3.1470389434854473,1e-10,1.401627906976744e-8,NA,3007,"tags=76%, list=20%, signal=61%",126328/54902/80224/51241/192286/4698/123346/51751/4702/29078/51295/54949/54539/10063/51204/4728/54968/91942/51103/79064/79072/644096/4719/57226/285521/64756/84275/4704/4725/4696/1346/4710/6834/4700/4717/4715/4716/4712/4708/90624/84233/4714/25994/4694/4724/9167/7386/4706/4722/4707/55967/55863/4713/4718/4711/4695/4709/1347,F6,MOFA,NA,7.853367264111675,mitochondrial respirasome assembly
GO:0022904,respiratory electron transport chain,98,-0.7046196245258172,-3.146844427531346,1e-10,1.401627906976744e-8,NA,1936,"tags=60%, list=13%, signal=53%",54949/6622/7384/4728/9377/11315/51103/8604/23479/4719/4704/1716/4725/4696/65018/637/1346/4710/4700/4717/4715/2108/4716/7385/1327/4712/4708/6392/1350/1537/6390/4714/1340/27069/4694/4724/9167/7386/4706/29103/4722/4190/4707/55967/7388/4713/4718/2819/27089/1351/4711/1329/4695/51142/4709/1347/1349/1337/4697,F6,MOFA,NA,7.853367264111675,respiratory electron transport chain
GO:0006119,oxidative phosphorylation,101,-0.6832988877844046,-3.0659520134330074,1e-10,1.401627906976744e-8,NA,1936,"tags=57%, list=13%, signal=50%",54949/54539/6622/7384/4728/9377/11315/51103/30968/23479/4719/84275/4704/1716/4725/4696/65018/637/1346/4710/4700/4717/4715/4716/7385/1327/4712/4708/6392/1350/1537/6390/4714/1340/27069/4694/4724/9167/7386/4706/29103/4722/4707/55967/7388/4713/4718/27089/1351/4711/1329/4695/51142/4709/1347/1349/1337/4697,F6,MOFA,NA,7.853367264111675,oxidative phosphorylation
GO:0022900,electron transport chain,107,-0.6737225090334773,-3.065815273419756,1e-10,1.401627906976744e-8,NA,2699,"tags=64%, list=18%, signal=53%",10891/54205/4698/57017/83733/7381/4702/56964/54949/6622/7384/4728/9377/11315/51103/8604/23479/2230/4719/4704/1716/4725/4696/65018/637/1346/4710/4700/4717/4715/2108/4716/7385/1327/4712/4708/6392/1350/1537/6390/4714/1340/27069/4694/4724/9167/7386/4706/29103/4722/4190/4707/55967/7388/4713/4718/2819/27089/1351/4711/1329/4695/51142/4709/1347/1349/1337/4697,F6,MOFA,NA,7.853367264111675,electron transport chain
GO:0009060,aerobic respiration,145,-0.6304166027909409,-3.03070051209649,1e-10,1.401627906976744e-8,NA,2001,"tags=60%, list=13%, signal=53%",891/3420/1737/1345/126328/4726/6391/54205/8801/4698/57017/65084/7381/4702/23530/55753/54949/54539/6622/3419/7384/4728/9377/11315/51103/5162/9016/30968/23479/2271/4719/84275/4704/8803/1716/4725/4696/65018/637/847/1346/4710/6834/4700/4717/402/4715/4716/7385/1327/4712/4708/6392/1350/1537/6390/4714/1340/27069/4694/4724/9167/7386/4706/29103/4722/8802/4190/4707/55967/7388/4713/4718/27089/1351/4693/4711/1329/4695/51142/4709/1347/1349/2647/130752/1337/4697,F6,MOFA,NA,7.853367264111675,aerobic respiration
GO:0035082,axoneme assembly,58,-0.8298057133960514,-3.383392854954768,1e-10,1.6741666666666666e-8,NA,1108,"tags=64%, list=7%, signal=59%",7320/136332/583/65999/221421/2622/57545/85478/84223/27148/644890/339829/84217/79582/8481/54970/27285/146754/26140/1767/200162/10233/54768/25876/51364/79925/64446/55036/374407/2302/345895/55329/27019/6674/56171/57639/89765,F7,MOFA,NA,7.776201309299376,axoneme assembly
GO:0003341,cilium movement,153,-0.6866329839371327,-3.24592924259817,1e-10,1.6741666666666666e-8,NA,1610,"tags=46%, list=11%, signal=41%",84071/202500/124637/117155/361/79659/151651/55567/7320/1770/64518/583/135138/29922/64147/55582/64800/221421/582/2622/219681/85478/84223/54585/27148/644890/114327/339829/84217/79582/122664/8481/375189/164395/144132/480/8382/54970/27285/152015/146754/26140/1767/200162/83659/10233/54768/53340/25876/51364/1768/83853/80258/79925/83894/199223/64446/7802/55036/219670/642987/345895/55329/27019/154865/56171/246176/57639/26206/158787,F7,MOFA,NA,7.776201309299376,cilium movement
GO:0001539,cilium or flagellum-dependent cell motility,130,-0.6805060495926585,-3.1767675815214815,1e-10,1.6741666666666666e-8,NA,2718,"tags=55%, list=18%, signal=46%",493/164714/147700/284076/28981/84131/5360/7141/120935/585/6652/338/261734/8701/9104/84071/202500/117155/79659/151651/55567/7320/1770/64518/583/135138/29922/64147/64800/221421/582/2622/219681/85478/84223/54585/644890/114327/339829/84217/79582/122664/375189/164395/144132/480/54970/27285/152015/146754/26140/1767/83659/10233/1768/83853/80258/79925/199223/7802/55036/219670/642987/345895/55329/27019/154865/56171/246176/57639/26206/158787,F7,MOFA,NA,7.776201309299376,cilium or flagellum-dependent cell motility
