ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Factor
GO:0006940,regulation of smooth muscle contraction,7/281,54/13960,0.12962962962962962,6.439963094767365,5.740435738758257,9.795017423243156e-5,0.007081589192378775,NA,SPHK1/MYOCD/ADRA2B/CALCA/RGS2/DOCK5/ADRA2C,7,F7
GO:0071542,dopaminergic neuron differentiation,6/281,38/13960,0.15789473684210525,7.844165574077541,6.055006725282803,1.0126267232704723e-4,0.0071685533451522196,NA,PHOX2A/LMX1A/LMX1B/WNT1/FOXA2/WNT3A,6,F7
GO:0021510,spinal cord development,9/281,96/13960,0.09375,4.657473309608541,5.153777272789466,1.3397546725342062e-4,0.00925102592827772,NA,PHOX2A/DBX1/WNT1/UNCX/GDF7/WNT3A/ISL1/DMRT3/LHX5,9,F7
GO:0001709,cell fate determination,6/281,40/13960,0.15,7.451957295373665,5.856727274001257,1.3612457222303886e-4,0.00925102592827772,NA,SOX17/MYOD1/WNT1/ISL1/GATA6/EBF2,6,F7
GO:0007218,neuropeptide signaling pathway,9/281,97/13960,0.09278350515463918,4.60945812084969,5.112724620281403,1.4511789251666225e-4,0.009482896130223429,NA,OPRK1/NTSR1/ADCYAP1/NPY5R/NPBWR1/NPY/RXFP3/CALCA/SSTR4,9,F7
GO:0072080,nephron tubule development,9/281,97/13960,0.09278350515463918,4.60945812084969,5.112724620281403,1.4511789251666225e-4,0.009482896130223429,NA,WT1/ADAMTS16/GREM1/FOXD1/WNT1/TMEM59L/IRX2/IRX3/HOXB7,9,F7
GO:0021761,limbic system development,10/281,120/13960,0.08333333333333333,4.139976275207592,4.951104393082519,1.5398131279524527e-4,0.009872235865627235,NA,BBS2/LMX1A/SLC32A1/KCNA1/RAX/WNT3A/TBX3/HTR5A/LHX5/CNTNAP2,10,F7
GO:2000027,regulation of animal organ morphogenesis,8/281,78/13960,0.10256410256410256,5.095355415640113,5.198356000750533,1.6891576041801635e-4,0.009929993134717655,NA,WT1/GATA5/AJAP1/GREM1/CSF1/WNT3A/HOXB7/DMRT3,8,F7
GO:0001657,ureteric bud development,9/281,99/13960,0.09090909090909091,4.516337754771919,5.032271198756146,0.00016973323814663447,0.009929993134717655,NA,WT1/ADAMTS16/GREM1/FOXD1/SLIT2/WNT1/TMEM59L/HOXB7/BASP1,9,F7
GO:0003206,cardiac chamber morphogenesis,10/281,122/13960,0.08196721311475409,4.072107811679598,4.884643172763687,1.7651655473888275e-4,0.009929993134717655,NA,HAND1/OVOL2/SLIT3/NPY5R/SLIT2/HAND2/ISL1/GATA6/TBX3/DSP,10,F7
GO:0072001,renal system development,17/281,309/13960,0.05501618122977346,2.733188220525401,4.415662521589108,1.7807827996288127e-4,0.009929993134717655,NA,WT1/ADAMTS16/SOX17/GREM1/FOXD1/PCSK9/SLIT2/MYOCD/WNT1/TMEM59L/IRX2/IRX3/HOXB7/BASP1/OVOL1/TFAP2A/CD2AP,17,F7
GO:0048736,appendage development,12/281,171/13960,0.07017543859649122,3.48629581070113,4.688539793667801,1.7942631997555883e-4,0.009929993134717655,NA,GREM1/PITX2/RAX/AFF3/DLX5/HOXD13/ALX4/HAND2/HOXA13/TBX3/RSPO4/TFAP2A,12,F7
